LeftPattern	RightPattern	TextProcessing
"ass=""pull-left htD-details""><h2 id=""details-info-hotelname"" class=""htD-hotelName u-truncate"" title="""	""">*</h2><span class=""htD-info htD-rating pull-right""><span class=""sm-ra"	None
"id=""details-info-hotelname"" class=""htD-hotelName u-truncate"" title=""*"">"	"</h2><span class=""htD-info htD-rating pull-right""><span class=""sm-rating__blank o-i-hlD-star-inactiv"	None
"s=""clearfix""><div id=""details-about-heading"" class=""htd-about-us-heading append_bottom15""><h4>About"	"</h4><p class=""htd-stay"">check-in * PM | check-out 1*M</p></div></div><div class=""htD-about-us ap"	None
"<html><head><meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>"	"</title><script *c="""	None
"</p></div><div><input type=""hidden"" id=""search_text"" value="""	", *""></div></div><div><div class=""pull-right htD-price-section""><div class=""clearfix text-ri"	None
"elid"" style=""display: none;"">*201*</div><div id=""rmp_hotelname"" style=""display: none;"">"	"</div><div id=""rmp_checkin"" style=""display: none;"">2018-08-*</div><div id=""rmp_checkout"" style=""dis"	None
"gallery-popup-content""><i class=""o-i-hlD-cross""></i><div class=""htD-info""><p class=""htD-info__name"">"	"</p><p class=""htD-info__nearby append_bottom10"">"	None
